phone_name,brand,os,inches,resolution,battery,battery_type,ram(GB),announcement_date,weight(g),storage(GB),price
Find N2,Oppo,Android 13,7.1,1792x1920,4520,Li-Po,16,15/12/2022,233,256,180
A56s,Oppo,Android 12,6.56,720x1612,5000,Li-Po,8,5/01/2023,186,128,1079.99
A78,Oppo,Android 12,6.56,720x1612,5000,Li-Po,8,7/01/2023,188,128,150
Reno8 T 5G,Oppo,Android 13,6.7,1080x2412,4800,Li-Po,8,1/02/2023,171,128,230
Reno8 T,Oppo,Android 13,6.43,1080x2400,5000,Li-Po,8,2/02/2023,180,128,340
Find X6,Oppo,Android 13,6.74,1240x2772,4800,Li-Po,16,21/03/2023,207,256,299.99
Find X6 Pro,Oppo,Android 13,6.82,1440x3168,5000,Li-Po,16,21/03/2023,216,256,759
A1x,Oppo,Android 12,6.56,720x1612,5000,Li-Po,8,31/03/2023,186,128,820
A1,Oppo,Android 13,6.72,1080x2400,5000,Li-Po,8,4/04/2023,191,256,180
A98,Oppo,Android 13,6.72,1080x2400,5000,Li-Po,8,9/05/2023,192,256,270
F23,Oppo,Android 13,6.72,1080x2400,5000,Li-Po,8,15/05/2023,192,256,290
Reno10 Pro (China),Oppo,Android 13,6.74,1240x2772,4600,Li-Po,16,24/05/2023,186,256,330
Reno10 Pro+,Oppo,Android 13,6.74,1240x2772,4700,Li-Po,16,24/05/2023,194,256,520
Reno10 (China),Oppo,Android 13,6.7,1080x2412,4600,Li-Po,8,24/05/2023,180,256,270
K11x,Oppo,Android 13,6.72,1080x2400,5000,Li-Po,8,25/05/2023,195,128,899
Reno10 Pro,Oppo,Android 13,6.7,1080x2412,4600,Li-Po,12,8/07/2023,185,256,479
Reno10,Oppo,Android 13,6.7,1080x2412,5000,Li-Po,8,8/07/2023,185,128,200
A78 4G,Oppo,Android 13,6.43,1080x2400,5000,Li-Po,8,10/07/2023,180,128,250
K11,Oppo,Android 13,6.7,1080x2400,5000,Li-Po,8,25/07/2023,184,256,759
A58 4G,Oppo,Android 13,6.72,1080x2400,5000,Li-Po,6,26/07/2023,192,128,150
Galaxy S21 FE 5G,Samsung,Android 12,6.4,1080x2340,4500,Li-Ion,8,4/01/2022,177,128,475
Galaxy S22 Ultra 5G,Samsung,Android 12,6.8,1440x3088,5000,Li-Ion,8,9/02/2022,228,128,825
Galaxy S22 5G,Samsung,Android 12,6.1,1080x2340,3700,Li-Ion,8,9/02/2022,167,128,564.98
Galaxy S22+ 5G,Samsung,Android 12,6.6,1080x2340,4500,Li-Ion,8,9/02/2022,195,128,749.9
Galaxy M23,Samsung,Android 12,6.6,1080x2408,5000,Li-Po,6,4/03/2022,198,64,219
Galaxy M33,Samsung,Android 12,6.6,1080x2408,6000,Li-Ion,8,4/03/2022,198,128,223.08
Galaxy A23,Samsung,Android 12,6.6,1080x2408,5000,Li-Po,8,4/03/2022,195,64,210
Galaxy A13,Samsung,Android 12,6.6,1080x2408,5000,Li-Po,6,4/03/2022,195,32,160.81
Galaxy F23,Samsung,Android 12,6.6,1080x2408,5000,Li-Po,6,8/03/2022,198,128,227.88
Galaxy A33 5G,Samsung,Android 12,6.4,1080x2400,5000,Li-Po,8,17/03/2022,186,128,243.71
Galaxy A73 5G,Samsung,Android 12,6.7,1080x2400,5000,Li-Po,8,17/03/2022,181,128,399.5
Galaxy A53 5G,Samsung,Android 12,6.5,1080x2400,5000,Li-Po,8,17/03/2022,189,128,309.4
Galaxy S20 FE 2022,Samsung,Android 12,6.5,1080x2400,4500,Li-Ion,6,1/04/2022,190,128,520
Galaxy M53,Samsung,Android 12,6.7,1080x2408,5000,Li-Ion,8,7/04/2022,176,128,350
Galaxy M13,Samsung,Android 12,6.6,1080x2408,5000,Li-Po,4,27/05/2022,192,64,144.8
Galaxy A13 (SM-A137),Samsung,Android 12,6.6,1080x2408,5000,Li-Po,4,1/06/2022,195,32,188
Galaxy F13,Samsung,Android 12,6.6,1080x2408,6000,Li-Po,4,22/06/2022,207,64,119.988
Galaxy Xcover6 Pro,Samsung,Android 12,6.6,1080x2408,4050,Li-Po,6,29/06/2022,235,128,425.5
Galaxy M13 (India),Samsung,Android 12,6.6,1080x2408,6000,Li-Po,6,14/07/2022,207,64,131.988
Galaxy M13 5G,Samsung,Android 12,6.5,720x1600,5000,Li-Po,6,14/07/2022,195,64,207.04999999999998
Galaxy A23 5G,Samsung,Android 12,6.6,1080x2408,5000,Li-Po,8,5/08/2022,197,64,210
Galaxy Z Fold4,Samsung,Android 12L,7.6,1812x2176,4400,Li-Po,12,10/08/2022,263,256,1179
Galaxy Z Flip4,Samsung,Android 12,6.7,1080x2640,3700,Li-Po,8,10/08/2022,187,128,691.27
